urut_nasional,urut_provinsi,rerata,npsn,sekolah,provinsi,kota_kab,jenis
465,39,"530,788",20400371,SMA NEGERI 1 SEWON More..,DI Yogyakarta,Kab. Bantul,SMA
466,68,"530,697",20532217,SMAN 17 SURABAYA More..,Jawa Timur,Kota Surabaya,SMA
467,33,"530,628",69759180,SMA ISLAM SINAR CENDEKIA More..,Banten,Kota Tangerang Selatan,SMA
468,13,"530,58",69987117,MAN INSAN CENDEKIA TAPANULI SELATAN More..,Sumatera Utara,Kab. Tapanuli Selatan ,MA 
469,88,"530,552",20254358,SMAS GLOBAL MANDIRI More..,Jawa Barat,Kab. Bogor,SMA
470,89,"530,519",20224113,SMA NEGERI 1 CIMAHI More..,Jawa Barat,Kota Cimahi,SMA
471,80,"530,443",20302169,SMAN 5 PURWOKERTO More..,Jawa Tengah,Kab. Banyumas,SMA
472,75,"530,307",69883506,SMA GARUDA CENDEKIA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
473,3,"530,282",10107194,SMAN 10 FAJAR HARAPAN BANDA ACEH More..,Aceh,Kota Banda Aceh,SMA
474,81,"530,136",20321425,SMK NEGERI 1 TEMANGGUNG More..,Jawa Tengah,Kab. Temanggung,SMK
475,76,"530,079",20103297,SMAN 42 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
476,90,"530,067",20220338,SMAN 9 BOGOR More..,Jawa Barat,Kota Bogor,SMA
477,1,"530,048",60403474,SMAS AVEROS More..,Papua Barat,Kota Sorong,SMA
478,91,"530,012",20229168,SMAN 6 KOTA DEPOK More..,Jawa Barat,Kota Depok,SMA
479,92,"530,007",69987474,SMA ISLAM TERPADU NURUL FIKRI BOARDING SCHOOL More..,Jawa Barat,Kab. Bogor,SMA
480,14,"529,984",10210873,SMAN 1 MEDAN More..,Sumatera Utara,Kota Medan,SMA
481,93,"529,869",20212956,SMA NEGERI 2 KUNINGAN More..,Jawa Barat,Kab. Kuningan,SMA
482,34,"529,755",20606848,SMAN 2 TANGERANG More..,Banten,Kota Tangerang,SMA
483,94,"529,753",20217786,SMAN 1 KARAWANG More..,Jawa Barat,Kab. Karawang,SMA
484,5,"529,721",40301037,SMAN 5 GOWA More..,Sulawesi Selatan,Kab. Gowa,SMA
485,69,"529,711",20532246,SMAN 13 SURABAYA More..,Jawa Timur,Kota Surabaya,SMA
486,82,"529,62",20323399,SMA NEGERI 1 KEDUNGWUNI More..,Jawa Tengah,Kab. Pekalongan,SMA
487,77,"529,472",20103286,SMAN 113 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
488,83,"529,431",20307713,SMAN 1 MERTOYUDAN More..,Jawa Tengah,Kab. Magelang,SMA
489,70,"529,325",20500477,SMAN 1 MANYAR More..,Jawa Timur,Kab. Gresik,SMA
490,95,"529,138",20219751,SMAS ADVENT More..,Jawa Barat,Kota Bandung,SMA
491,35,"529,132",20603359,SMAN 1 KOTA TANGERANG SELATAN More..,Banten,Kota Tangerang Selatan,SMA
492,71,"529,097",20501705,SMAN 1 TAMAN More..,Jawa Timur,Kab. Sidoarjo,SMA
493,72,"529,07",20519299,SMAN 1 PANDAAN More..,Jawa Timur,Kab. Pasuruan,SMA
494,9,"529,038",10497552,SMA IT AL ITTIHAD More..,Riau,Kota Pekanbaru,SMA
495,73,"528,992",20505008,SMAN 2 TUBAN More..,Jawa Timur,Kab. Tuban,SMA
496,84,"528,973",20302170,SMAN 1 AJIBARANG More..,Jawa Tengah,Kab. Banyumas,SMA
497,6,"528,953",40310832,SMA NEGERI 5 PAREPARE More..,Sulawesi Selatan,Kota Parepare,SMA
498,85,"528,891",20337604,SMK NEGERI 7 SEMARANG More..,Jawa Tengah,Kota Semarang,SMK
499,78,"528,841",20101586,SMAN 85 JAKARTA More..,DKI Jakarta,Kota Jakarta Barat,SMA
500,79,"528,799",20177932,MAN 4 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,MA 
501,96,"528,788",20217357,SMAN 1 PURWAKARTA More..,Jawa Barat,Kab. Purwakarta,SMA
502,80,"528,741",20100797,SMAN 52 JAKARTA More..,DKI Jakarta,Kota Jakarta Utara,SMA
503,81,"528,615",20103219,SMAS FONS VITAE 1 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
504,82,"528,609",20102217,SMAN 29 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
505,97,"528,577",20271471,SMA IT DARUL QUR AN More..,Jawa Barat,Kab. Bogor,SMA
506,74,"528,569",69880982,SMA BINA INSAN MANDIRI More..,Jawa Timur,Kab. Nganjuk,SMA
507,5,"528,392",30401487,SMAN 5 BALIKPAPAN SELATAN More..,Kalimantan Timur,Kota Balikpapan,SMA
508,4,"528,325",10900232,SMAN 1 SUNGAI LIAT More..,Kepulauan Bangka Belitung,Kab. Bangka,SMA
509,8,"528,29",10603853,SMA NEGERI 06 PALEMBANG More..,Sumatera Selatan,Kota Palembang,SMA
510,98,"528,289",20219249,SMAN 23 BANDUNG More..,Jawa Barat,Kota Bandung,SMA
511,99,"528,259",20223043,SMAN 6 BEKASI More..,Jawa Barat,Kota Bekasi,SMA
512,5,"528,222",69775683,SMAS IT AR RAIHAN  More..,Lampung,Kota Bandar Lampung,SMA
513,100,"528,177",20220325,SMAS BUDI MULIA More..,Jawa Barat,Kota Bogor,SMA
514,83,"528,114",20103196,SMAS SANTO YOSEPH JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
515,101,"528,109",20220329,SMAS KESATUAN More..,Jawa Barat,Kota Bogor,SMA
516,86,"528,075",20302171,SMAN 1 BANYUMAS More..,Jawa Tengah,Kab. Banyumas,SMA
517,75,"528,049",20533655,SMAS KATOLIK SANTA MARIA More..,Jawa Timur,Kota Malang,SMA
