data_key,urut_nasional,urut_provinsi,rerata,npsn,sekolah,provinsi,kota_kab,jenis
2079,79,27,"566,385",20103228,SMAS KRISTEN 7 BPK PENABUR JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
2080,80,11,"566,208",20223819,SMAN 1 KOTA DEPOK More..,Jawa Barat,Kota Depok,SMA
2081,81,7,"565,842",20305010,SMAN 1 KEBUMEN More..,Jawa Tengah,Kab. Kebumen,SMA
2082,82,11,"565,837",20500479,SMAN 1 GRESIK More..,Jawa Timur,Kab. Gresik,SMA
2083,83,12,"565,803",69873999,SMA KRISTEN PENABUR KOTA WISATA More..,Jawa Barat,Kab. Bogor,SMA
2084,84,13,"565,798",20219279,SMAS TRINITAS BANDUNG More..,Jawa Barat,Kota Bandung,SMA
2085,85,8,"565,676",20327563,SMAN 1 MAGELANG More..,Jawa Tengah,Kota Magelang,SMA
2086,86,12,"565,585",20532135,SMAS KRISTEN PETRA 1 More..,Jawa Timur,Kota Surabaya,SMA
2087,87,28,"565,317",20103284,SMAN 14 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
2088,88,29,"565,228",20100799,SMAS SANTO YAKOBUS JAKARTA More..,DKI Jakarta,Kota Jakarta Utara,SMA
2089,89,30,"564,86",20101589,SMAN 65 JAKARTA More..,DKI Jakarta,Kota Jakarta Barat,SMA
2090,90,14,"564,821",20220343,SMAS REGINA PACIS More..,Jawa Barat,Kota Bogor,SMA
2091,91,31,"564,735",20102193,SMAN 47 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
2092,92,9,"564,457",20402126,SMAN 1 WONOSARI More..,DI Yogyakarta,Kab. Gunung Kidul,SMA
2093,93,9,"564,32",20328867,SMA NEGERI 01 More..,Jawa Tengah,Kota Semarang,SMA
2094,94,10,"563,852",20328447,SMAN 1 SALATIGA More..,Jawa Tengah,Kota Salatiga,SMA
2095,95,15,"563,837",20252198,SMA TALENTA More..,Jawa Barat,Kab. Bandung,SMA
2096,96,13,"563,729",20532237,SMAN 15 SURABAYA More..,Jawa Timur,Kota Surabaya,SMA
2097,97,32,"563,109",20103283,SMAN 21 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
2098,98,33,"563,087",20102570,SMAN 70 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
2099,99,11,"563,002",20613524,SMAS TARAKANITA GADING SERPONG More..,Banten,Kab. Tangerang,SMA
2100,100,11,"562,953",20321438,SMA NEGERI 1 TEMANGGUNG More..,Jawa Tengah,Kab. Temanggung,SMA
2101,101,14,"562,854",20504500,SMAN 1 BOJONEGORO More..,Jawa Timur,Kab. Bojonegoro,SMA
2102,102,12,"562,809",20308449,SMAN 1 BOYOLALI More..,Jawa Tengah,Kab. Boyolali,SMA
2103,103,10,"562,761",20400381,SMA NEGERI 2 BANTUL More..,DI Yogyakarta,Kab. Bantul,SMA
2104,104,13,"562,506",20327968,SMAN 3 SURAKARTA More..,Jawa Tengah,Kota Surakarta,SMA
2105,105,16,"562,431",20220332,SMAN 3 BOGOR More..,Jawa Barat,Kota Bogor,SMA
2106,106,34,"562,359",20112503,SMAS K CALVIN More..,DKI Jakarta,Kota Jakarta Pusat,SMA
2107,107,11,"562,218",20401145,SMAN 1 KALASAN More..,DI Yogyakarta,Kab. Sleman,SMA
2108,108,3,"562,217",10259371,SMAS METHODIST 3 MEDAN More..,Sumatera Utara,Kota Medan,SMA
2109,109,15,"562,183",20534124,SMAN 2 MADIUN More..,Jawa Timur,Kota Madiun,SMA
2110,110,14,"561,635",20307712,SMAN 1 MUNTILAN More..,Jawa Tengah,Kab. Magelang,SMA
2111,111,12,"561,133",20607805,SMAN CMBBS More..,Banten,Kab. Pandeglang,SMA
2112,112,17,"560,911",69986554,SMA KRISTEN PENABUR KOTA JABABEKA More..,Jawa Barat,Kab. Bekasi,SMA
2113,113,35,"560,881",20101332,SMAS BUNDA HATI KUDUS More..,DKI Jakarta,Kota Jakarta Barat,SMA
2114,114,36,"560,701",20100806,SMAN 13 JAKARTA More..,DKI Jakarta,Kota Jakarta Utara,SMA
2115,115,13,"560,653",20613477,SMAN 2 KOTA TANGERANG SELATAN More..,Banten,Kota Tangerang Selatan,SMA
2116,116,1,"560,577",10100170,SMA NEGERI MODAL BANGSA More..,Aceh,Kab. Aceh Besar,SMA
2117,117,18,"560,563",20247147,SMAS PESANTREN UNGGUL AL BAYAN More..,Jawa Barat,Kab. Sukabumi,SMA
2118,118,15,"560,374",20329517,SMA Negeri 1 Pekalongan More..,Jawa Tengah,Kota Pekalongan,SMA
2119,119,14,"560,336",20615025,SMAS PENABUR BINTARO More..,Banten,Kota Tangerang Selatan,SMA
2120,120,16,"560,084",20307644,SMAS PANGUDI LUHUR VAN LITH More..,Jawa Tengah,Kab. Magelang,SMA
2121,121,16,"559,81",20532131,SMAS KATOLIK FRATERAN More..,Jawa Timur,Kota Surabaya,SMA
2122,122,37,"559,761",20103296,SMAN 39 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
2123,123,19,"559,515",20222370,SMA KRISTEN PENABUR CIREBON More..,Jawa Barat,Kota Cirebon,SMA
2124,124,12,"559,444",20403170,SMAN 7 YOGYAKARTA More..,DI Yogyakarta,Kota Yogyakarta,SMA
2125,125,13,"558,943",20403176,SMAN 11 YOGYAKARTA More..,DI Yogyakarta,Kota Yogyakarta,SMA
2126,126,17,"558,789",20532260,SMAN 6 SURABAYA More..,Jawa Timur,Kota Surabaya,SMA
2127,127,18,"558,709",20532236,SMAN 16 SURABAYA More..,Jawa Timur,Kota Surabaya,SMA
2128,128,17,"558,677",20310417,SMAN 1 SUKOHARJO More..,Jawa Tengah,Kab. Sukoharjo,SMA
2129,129,20,"558,553",20219326,SMAN 8 BANDUNG More..,Jawa Barat,Kota Bandung,SMA
2130,130,38,"558,552",20102592,SMAN 49 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
2131,131,21,"558,512",20253599,SMAS PENABUR More..,Jawa Barat,Kota Bekasi,SMA
2132,132,2,"558,172",10404453,SMAN PLUS PROP RIAU More..,Riau,Kota Pekanbaru,SMA
2133,133,19,"558,029",20505009,SMAN 1 TUBAN More..,Jawa Timur,Kab. Tuban,SMA
