data_key,detail,urut_nasional,urut_provinsi,rerata,nilai_tertinggi,nilai_terendah,standar_deviasi
2066,Kemampuan Kuantitatif,70,9,594.591,728.38,457.25,64.37
2066,Kemampuan Memahami Bacaan dan Menulis,93,16,563.553,691.4,437.9,49.0
2066,Kemampuan Penalaran Umum,83,12,553.026,630.21,429.35,41.85
2066,Pengetahuan dan Pemahaman Umum,49,8,562.74,681.69,438.76,46.54
2067,Kemampuan Kuantitatif,83,8,589.921,713.0,381.22,67.22
2067,Kemampuan Memahami Bacaan dan Menulis,58,8,569.317,688.2,365.2,52.95
2067,Kemampuan Penalaran Umum,57,8,557.25,632.78,425.77,41.3
2067,Pengetahuan dan Pemahaman Umum,75,9,557.291,722.27,368.9,66.58
2068,Kemampuan Kuantitatif,22,10,614.909,718.17,460.19,75.18
2068,Kemampuan Memahami Bacaan dan Menulis,181,40,554.716,658.77,388.76,63.71
2068,Kemampuan Penalaran Umum,92,31,552.158,628.52,450.46,44.58
2068,Pengetahuan dan Pemahaman Umum,119,34,550.959,668.69,383.34,80.71
2069,Kemampuan Kuantitatif,92,10,587.683,713.06,385.34,66.23
2069,Kemampuan Memahami Bacaan dan Menulis,66,9,567.198,711.43,403.31,54.92
2069,Kemampuan Penalaran Umum,55,7,557.364,648.84,427.37,39.99
2069,Pengetahuan dan Pemahaman Umum,61,9,560.478,696.41,386.42,62.79
2070,Kemampuan Kuantitatif,72,28,593.062,713.63,368.9,65.41
2070,Kemampuan Memahami Bacaan dan Menulis,65,17,567.566,717.54,378.72,63.11
2070,Kemampuan Penalaran Umum,78,29,553.387,624.87,435.39,35.88
2070,Pengetahuan dan Pemahaman Umum,71,25,558.205,678.54,370.12,61.32
2071,Kemampuan Kuantitatif,65,8,595.7,710.49,384.71,68.94
2071,Kemampuan Memahami Bacaan dan Menulis,124,19,560.078,680.79,355.13,64.26
2071,Kemampuan Penalaran Umum,80,11,553.249,646.23,398.86,41.76
2071,Pengetahuan dan Pemahaman Umum,50,9,562.495,688.98,357.7,63.72
2072,Kemampuan Kuantitatif,102,9,584.151,677.41,460.07,57.71
2072,Kemampuan Memahami Bacaan dan Menulis,54,7,570.654,692.44,484.66,45.52
2072,Kemampuan Penalaran Umum,91,11,552.203,625.44,456.97,39.9
2072,Pengetahuan dan Pemahaman Umum,48,7,562.814,663.63,401.72,55.82
2073,Kemampuan Kuantitatif,66,2,595.182,705.7,411.72,53.61
2073,Kemampuan Memahami Bacaan dan Menulis,73,1,566.461,681.97,420.74,48.28
2073,Kemampuan Penalaran Umum,93,2,552.087,627.45,438.44,36.68
2073,Pengetahuan dan Pemahaman Umum,81,1,556.04,664.25,366.49,53.76
2074,Kemampuan Kuantitatif,37,1,604.281,698.65,484.0,60.74
2074,Kemampuan Memahami Bacaan dan Menulis,87,1,564.265,652.72,438.3,61.7
2074,Kemampuan Penalaran Umum,131,3,547.575,618.2,447.29,44.7
2074,Pengetahuan dan Pemahaman Umum,97,1,553.432,715.16,384.37,70.92
2075,Kemampuan Kuantitatif,97,10,586.284,721.74,370.57,64.2
2075,Kemampuan Memahami Bacaan dan Menulis,55,8,570.143,695.55,403.92,48.39
2075,Kemampuan Penalaran Umum,95,7,551.876,638.68,451.7,36.37
2075,Pengetahuan dan Pemahaman Umum,58,5,561.074,723.01,349.27,61.33
2076,Kemampuan Kuantitatif,46,1,601.941,718.88,433.43,66.83
2076,Kemampuan Memahami Bacaan dan Menulis,121,2,560.496,680.99,377.87,63.02
2076,Kemampuan Penalaran Umum,63,1,555.686,619.71,432.57,41.44
2076,Pengetahuan dan Pemahaman Umum,117,2,551.173,650.12,383.27,61.25
2077,Kemampuan Kuantitatif,62,5,596.306,715.42,378.86,61.35
2077,Kemampuan Memahami Bacaan dan Menulis,59,9,569.093,686.93,397.4,49.79
2077,Kemampuan Penalaran Umum,71,4,554.152,648.19,432.32,36.23
2077,Pengetahuan dan Pemahaman Umum,131,21,549.662,683.46,361.53,64.29
2078,Kemampuan Kuantitatif,77,30,591.0,712.14,370.41,75.44
2078,Kemampuan Memahami Bacaan dan Menulis,135,36,558.913,679.99,374.64,60.84
2078,Kemampuan Penalaran Umum,62,24,555.765,624.1,432.76,35.72
2078,Pengetahuan dan Pemahaman Umum,53,22,561.718,672.7,356.1,60.39
2079,Kemampuan Kuantitatif,54,23,597.688,702.8,409.53,63.24
2079,Kemampuan Memahami Bacaan dan Menulis,122,32,560.4,684.74,375.2,57.99
2079,Kemampuan Penalaran Umum,86,30,552.764,628.7,448.76,39.74
2079,Pengetahuan dan Pemahaman Umum,90,30,554.687,723.89,354.32,72.42
2080,Kemampuan Kuantitatif,88,13,589.316,712.17,394.14,71.06
2080,Kemampuan Memahami Bacaan dan Menulis,115,18,561.356,701.06,360.58,72.03
2080,Kemampuan Penalaran Umum,100,17,551.327,639.03,423.86,43.63
2080,Pengetahuan dan Pemahaman Umum,47,7,562.835,677.64,360.87,68.09
2081,Kemampuan Kuantitatif,90,8,587.95,712.07,397.32,61.22
2081,Kemampuan Memahami Bacaan dan Menulis,47,6,572.223,704.58,404.84,50.67
2081,Kemampuan Penalaran Umum,121,13,548.604,638.32,430.38,38.58
2081,Pengetahuan dan Pemahaman Umum,91,8,554.591,750.12,347.34,65.61
2082,Kemampuan Kuantitatif,99,12,584.843,717.04,379.71,67.04
2082,Kemampuan Memahami Bacaan dan Menulis,68,10,566.977,710.25,398.71,49.62
2082,Kemampuan Penalaran Umum,66,10,555.487,638.75,437.83,37.19
2082,Pengetahuan dan Pemahaman Umum,80,14,556.043,724.67,372.26,60.67
2083,Kemampuan Kuantitatif,85,12,589.735,705.4,374.31,68.25
2083,Kemampuan Memahami Bacaan dan Menulis,80,13,564.824,658.94,428.38,52.11
2083,Kemampuan Penalaran Umum,74,9,553.96,630.81,426.49,43.09
2083,Pengetahuan dan Pemahaman Umum,89,14,554.693,688.2,355.96,66.92
2084,Kemampuan Kuantitatif,84,11,589.786,721.19,407.04,68.57
2084,Kemampuan Memahami Bacaan dan Menulis,41,6,573.937,667.18,418.05,47.44
2084,Kemampuan Penalaran Umum,149,24,546.044,624.94,463.41,37.29
2084,Pengetahuan dan Pemahaman Umum,99,15,553.427,642.43,376.46,64.94
2085,Kemampuan Kuantitatif,110,13,583.156,709.18,392.11,65.82
2085,Kemampuan Memahami Bacaan dan Menulis,43,4,573.188,689.46,434.53,50.17
2085,Kemampuan Penalaran Umum,84,5,552.99,637.75,430.14,38.43
2085,Pengetahuan dan Pemahaman Umum,100,10,553.369,677.21,366.87,63.03
